PopularName,SchoolId,Classification,ProperName,NickName,matches
cornerstone middle school,9601,,cornerstone middle school,Bulldogs,"academy for business and technology high school, alba school"
detroit randolph technical hs,9603,,randolph technical hs,Timberwolves,"allegan county area technical and education center, covenant house academy detroit southwest site"
orangeville prep (on),9604,,mono orangeville prep (on),,"dearborn newcomer college prep academy, michigan international prep school"
put-in-bay (oh),9605,,put-in-bay (oh),,"anchor bay high school, arts academy in the woods"
chicago kenwood academy (il),9606,,chicago kenwood academy (il),,"academy 21, academy for business and technology high school"
columbia city (in),9608,,columbia city (in),,"bay city academy farragut campus, bay city adult educationctp"
saline washtenaw christian academy,9609,,saline washtenaw christian academy,,"washtenaw christian academy, 54th street academy"
grand rapids adventist,9612,,grand rapids adventist high school,,"covenant house academy grand rapids, grand blanc community high school"
southwest michigan blades hockey,9613,,southwest michigan blades hockey,,"michigan mathematics and science academy dequindre, michigan reformatory"
kalamazoo eagles hockey,9614,,kalamazoo eagles hockey,,"kalamazoo area math and science center, kalamazoo county juvenile home youth center school"
knights unified hockey,9615,,knights unified hockey,,
lakeshore/st. joseph warriors hockey,9616,,lakeshore/st. joseph warriors hockey,,"lakeshore high school, lakeshore virtual school"
marinette/menominee hockey,9617,,marinette/menominee hockey,,
unity knights hockey,9618,,unity knights hockey,,
carrollton hockey,9619,,carrollton hockey,,
green bay newcha homeschoolers (wi),9624,,green bay newcha homeschoolers (wi),,"anchor bay high school, bay pines center"
adams-young middle school,9626,,adams-young middle school,,"academy for business and technology high school, alba school"
southfield arts & technology,9630,A,southfield hs for the arts & technology,Warriors,"academy for business and technology high school, academy of science math and technology early college high sc"
hudsonville libertas christian,9633,D,libertas christian school,Phoenix,libertas christian school
mancelona north central academy,9641,D,north central academy,Hawks,"central academy, 54th street academy"
north central academy 7/8,9642,,north central academy 7/8,,"central academy, academy 21"
cranbrook kingswood girls middle school,9645,,cranbrook kingswood girls middle school,,"actech high school, addison high school"
lincolnshire stevenson (il),9649,,lincolnshire stevenson (il),,
medina (oh),9650,,medina (oh),,
lorne park secondary school (cn),9651,,mississauga lorne park secondary school (cn),,"academy for business and technology high school, actech high school"
mundelein (il),9652,,mundelein,,
zion-benton (il),9653,,zion-benton (il),,benton harbor high school
libertyville (il),9654,,libertyville (il),,
lake zurich (il),9655,,lake zurich (il),,"ackerson lake community education, central lake public schools"
waukegan (il),9656,,waukegan (il),,
warren township (il),9657,,warren township (il),,"bangor township virtual school, warren consolidated community high school"
lena (wi),9658,,lena (wi),,
lafayette faith christian (in),9659,,lafayette faith christian (in),,
elyria open door christian (oh),9660,,elyria open door christian (oh),,
stem academy,9661,,stem academy,,"genesee stem academy, 54th street academy"
channahon families of faith christian (il),9662,,channahon families of faith christian (il),,"detroit school of arts, insight school of michigan"
pittsburgh westinghouse (pa),9663,,pittsburgh westinghouse (pa),,
livingston iowa-grant (wi),9664,,livingston iowa-grant (wi),,
st. mary school,9668,,st mary school,,"st mary school, academy for business and technology high school"
westphalia st mary schools,9670,,st mary school,,"st mary school, charlotte public schools project success"
pine street elementary,9678,,pine street elementary,,cedar street community and family center
wonewoc-center (wi),9679,,wonewoc-center (wi),,"airport center for education, allegan county area technical and education center"
milwaukee reagan (wi),9680,,milwaukee reagan (wi),,
shelbyville north shelby (mo),9681,,shelbyville north shelby (mo),,"high school north, north edbridgeway"
roseville lake park (il),9682,,roseville lake park (il),,"lake huron virtual hybrid high school, progress park"
aurora waubonsie valley (il),9683,,aurora waubonsie valley (il),,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education"
aurora metea valley (il),9684,,aurora metea valley (il),,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education"
harvey thornton township (il),9685,,harvey thornton township (il),,
bolingbrook (il),9686,,bolingbrook (il),,
parma heights valley forge (oh),9687,,parma heights valley forge (oh),,"huron valley womens, river valley academy"
parma senior (oh),9688,,parma senior (oh),,"airport senior high school, baldwin senior high school"
toledo horizon science academy (oh),9689,,toledo horizon science academy (oh),,"54th street academy, academy 21"
cleveland lincoln-west (oh),9690,,cleveland lincoln-west (oh),,"kalamazoo resa west campusyoung adult program, lincoln school"
augusta (wi),9691,,augusta (wi),,
mineral point (wi),9692,,mineral point (wi),,
fennimore (wi),9693,,fennimore (wi),,
holland language academy @ vanraalte,9694,,holland language academy @ vanraalte,,"54th street academy, academy 21"
estabrook elementary,9695,,estabrook elementary,Grizzlies,
detroit leadership academy,9696,C,detroit leadership academy,Cougars,"detroit leadership academy high school, academy 21"
detroit leadership academy middle school,9697,,detroit leadership academy middle school,,"detroit leadership academy high school, 54th street academy"
reeths-puffer intermediate,9703,,reeths-puffer intermediate,,
blandford nature center,9704,,blandford nature center,,"allegan county area technical and education center, apollo center"
john ball zoo,9705,,john ball zoo,,"john glenn high school, john glenn high school"
center of economicology,9706,,center of economicology,,"academy of science math and technology early college high sc, academy of the americas high school"
pittsburgh carrick (pa),9707,,pittsburgh carrick (pa),,
pittsburgh allderdice (pa),9708,,pittsburgh allderdice (pa),,
hermitage hickory (pa),9709,,hermitage hickory (pa),,
pittsburgh brashear (pa),9710,,pittsburgh brashear (pa),,
pittsburgh perry traditional academy (pa),9711,,pittsburgh perry traditional academy (pa),,"54th street academy, academy 21"
adrian middle school 5/6 building,9712,,adrian middle school 5/6 building,Maples,"actech high school, addison high school"
gr museum school,9713,,gr museum school,,"academy for business and technology high school, academy of the americas high school"
accelerated learning academy 7-8,9714,,accelerated learning academy 7-8,,"accelerated learning academy, acce"
potter elementary,9715,,potter school,,
clayton (wi),9717,,clayton (wi),,
western michigan christian middle school,9718,,western michigan christian middle school,,"western michigan christian high school, actech high school"
charlotte st mary school,9719,,st mary school,,"st mary school, academy for business and technology high school"
toronto richview collegiate (cn),9721,,toronto richview collegiate (cn),,detroit collegiate preparatory high school at northwestern
markham st. augustine (cn),9722,,markham st. augustine (cn),,"st charles community middlehigh school, virtual learning academyof st clair county"
bellevue elementary,9723,,bellevue elementary,,
dryden elementary,9724,,dryden elementary,,
cass city elementary,9725,,cass city elementary,,"bay city academy farragut campus, carson city correctional facility"
thorne elementary,9726,,thorne elementary,,
daly elementary,9727,,daly elementary,,
centreville elementary,9728,,centreville elementary,,
kingston elementary,9729,,kingston elementary,,
greensburg central catholic (pa),9730,,greensburg central catholic (pa),,"central academy, central high school"
deckerville elementary,9731,,deckerville elementary,,deckerville community high school
haas elementary,9732,,haas elementary,,
sandusky elementary school,9733,,sandusky elementary school,,"academy for business and technology high school, alba school"
madison carver academy,9734,,madison carver academy,,"academic and career education academy, academy 21"
hope of detroit academy,9735,C,hope of detroit academy hs,Warriors,"hope of detroit academy middlehigh, academic and career education academy"
washtenaw technical,9737,B,washtenaw technical middle college,,"washtenaw technical middle college, allegan county area technical and education center"
glen lake elementary,9739,,glen lake elementary,,"ackerson lake community education, houghton lake community education"
marcellus elementary school,9740,,marcellus elementary school,,"academy for business and technology high school, actech high school"
