MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
kansas school for the deaf (ks),8385,,Kansas School For The Deaf,,"academy for business and technology high school, actech high school",
oklahoma school for the deaf (ok),8386,,Oklahoma School For The Deaf,,"actech high school, addison high school",
test 3,8390,,Test 3,,,
morgantown (wv),8393,,Morgantown HS,,,
ancaster bishop tonnos (cn),8397,,Bishop Tonnos Catholic SS,,,
toronto st mary's catholic (cn),8398,,St Mary's Catholic SS,,"st clair high school, st johns high school",
hamilton cathedral (cn),8399,,Cathedral HS,,hamilton flex,
hamilton st jean de brebeuf (cn),8400,,St Jean de Brebeuf SS,,"hamilton flex, hamilton high school",
hamilton cardinal newman (cn),8401,,Cardinal Newman,,hamilton flex,
south bend trinity (in),8402,,Trinity High School,,capstone academy charter school sda south campus,
endeavour ms,8403,,Endeavour Middle School,,,
detroit west side academy,8404,,West Side Academy,Panthers,"academy 21, academy for business and technology high school",
east st louis (il),8405,,East St Louis HS,,"covenant house academy detroit east site, east china virtual academy",
detroit trombly hs,8406,,Trombly HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
eastern washtenaw multi cultural academy 7/8,8407,,Eastern Washtenaw Multi Cultural Academy 7/8,,"54th street academy, academy 21",
je clark preparatory academy,8408,,JE Clark Preparatory Academy,,"academy 21, academy for business and technology high school",
foreign language immersion & cultural studies,8409,,Foreign Language Immersion & Cultural Studies,,flint cultural center academy,
ow holmes middle school,8410,,OW Holmes Middle School,,"academy for business and technology high school, academy of the americas high school",
fort loramie (oh),8411,,Fort Loramie HS,,,
zanesville bishop rosecrans (oh),8412,,Zanesville Bishop Rosecrans (OH),,,
dayton christian (oh),8413,,Dayton Christian HS,,"cadillac heritage christian school, community baptist christian school",
cincinnati summit country day (oh),8414,,The Summit Country Day School,,isabella day treatment,
test 4,8415,,Test 4,,,
auburn hills christian 6-8,8416,,Auburn Hills Christian School 6-8,,"auburn hills christian school, beth jacob 1-8",
hartland lake country lutheran (wi),8417,,Lake Country Lutheran,,"bear lake high school, grass lake high school",
milwaukee the hope school (wi),8418,,The Hope School,,"academy for business and technology high school, actech high school",
beloit turner (wi),8419,,Turner HS,,,
john r king,8420,,John R King,,"douglas r welch high school, john glenn high school",
detroit dossin,8421,,Dossin Elementary/Middle,,"covenant house academy detroit central site, covenant house academy detroit east site",
sault ste marie superior heights (cn),8422,,Superior Heights HS,,"muskegon heights academy, sault area career center",
grand haven christian 7/8,8423,,Grand Haven Christian 7/8,Sailors,"grand rapids university preparatory academy, link learning grand rapids alger heights",
unknown - 11,8425,,Unknown - 11,,,
king city villanova college (cn),8427,,Villanova College,,"academy of science math and technology early college high sc, city middlehigh",
lima shawnee (oh),8428,,Shawnee (OH),,,
elkhart christian (in),8429,,Elkhart Christian ,,"cadillac heritage christian school, community baptist christian school",
unknown - 12,8431,,Unknown - 12,,,
unknown - 9,8748,,Unknown - 9,,,
unknown - 13,8749,,Unknown - 13,,,
toledo maumee valley (oh),8765,,Maumee Valley Country Day School,,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education",
bayfield (wi),8766,,Bayfield HS,,,
barry county christian (mi),8767,,Barry County Christian School,,"barry county christian school, allegan county area technical and education center",
hudsonville home school (mi),8768,,Hudsonville Home School,,"academy for business and technology high school, actech high school",
traverse city home school (mi),8769,,Traverse City Home School,,"academy for business and technology high school, actech high school",
butternut (wi),8770,,Butternut High School,,,
leelanau home school (mi),8771,,Leelanau Home School,,"academy for business and technology high school, alba school",
gaylord grace baptist christian (mi),8772,,Grace Baptist Christian,,"keys grace academy, algoma christian school",
davison faith baptist (mi),8773,,Faith Baptist School,,west mi academy of environmental science,
mercer (wi),8774,,Mercer HS,,,
glen arbor the leelanau school (mi),8775,,The Leelanau School,,"the leelanau school, actech high school",
drummond (wi),8776,,Drummond HS,,,
detroit edison,8797,B,Detroit Edison PSA/ECE,Pioneers,"detroit edison public school academy high school, edison",
cincinnati withrow (oh),8798,,Cincinnati Withrow,,,
solon springs (wi),8800,,Solon Springs HS,,"berrien springs discovery academy, berrien springs high school",
gorham-fayette (oh),8801,,Gorham-Fayette HS,,,
toronto eastern commerce (cn),8803,,Eastern Commerce HS,,mason county eastern junior highhigh school,
richmond (in),8804,,Richmond HS,,"arts academy in the woods, richmond community high school",
unknown - 14,8807,,Unknown - 14,,,
detroit aisha,8809,,Aisha Shule-W.E.B DuBois Prep Acad,Defenders,"covenant house academy detroit central site, covenant house academy detroit east site",
unknown - 10,8813,,Unknown - 10,,,
chicago whitney young (il),8824,,Whitney Young HS,,"detroit international academy for young women, frederick douglass academy for young men",
magnificat (oh),8825,,Magnificat HS,,,
dayton thurgood marshall (oh),8826,,Thurgood Marshall HS,,marshall academy,
chicago vocational (il),8827,,Chicago Vocational School,,,
east lansing summit christian,8828,,Summit Christian Academy,,"east lee campus, way east jackson",
chicago orr (il),8829,,Chicago Orr (IL),,way academy chicago site,
toledo emmanuel christian (oh),8830,,Emmanuel Christian School,,,
victoria holy family catholic (mn),8831,,Holy Family Catholic HS,,hackett catholic prep,00639636
britton deerfield,8832,D,Britton Deerfield Schools,Patriots,britton deerfield schoolsbritton building,
brantford assumption college (cn),8833,,Assumption College School,,"academy of science math and technology early college high sc, genesee early college",
elwood (in),8834,,Elwood Community HS,,arts academy in the woods,
river grove guerin prep (il),8835,,Guerin Prep High School,,"flat river academy, lincolnking adams young school grove campus",
kenosha bradford (wi),8836,,Bradford HS,,,
waukesha catholic memorial (wi),8837,,Catholic Memorial HS,,,
inver grove hts simley (mn),8838,,Simley Senior HS,,lincolnking adams young school grove campus,
watertown-mayer (mn),8839,,Watertown-Mayer HS,,,
new ulm (mn),8840,,New Ulm Senior HS,,"new beginnings alternative high school, new buffalo senior high school",
new london-spicer (mn),8841,,New London-Spicer HS,,new beginnings alternative high school,
esko (mn),8842,,Esko HS,,,
mendota heights st thomas academy (mn),8843,,St Thomas Academy,,"54th street academy, academy 21",
waseca (mn),8844,,Waseca Senior HS,,,
hart oceana,8845,,Oceana Christian 7/8,Soldiers,hart middle school,
union ryle (ky),8846,,Ryle HS,,"chesaning union high school, chesaning union schools alternative education",
britton deerfield middle school,8847,,Britton Deerfield Middle School,,"academy for business and technology high school, actech high school",
cleveland john adams (oh),8849,,John Adams HS,,lincolnking adams young school grove campus,
grove city christian (oh),8850,,Grove City Christian School,,"city middlehigh, dollar baytamarack city area k12 school",
columbus eastmoor academy (oh),8851,,Eastmoor Academy HS,,"54th street academy, academy 21",
unknown - 1,8852,,Unknown - 1,,,
unknown - 2,8853,,Unknown - 2,,,
unknown - 3,8854,,Unknown - 3,,,
unknown - 4,8855,,Unknown - 4,,,
unknown - 5,8856,,Unknown - 5,,,
unknown - 6,8857,,Unknown - 6,,,
anna (oh),8858,,Anna HS,,,
coldwater (oh),8859,,Coldwater HS,,coldwater high school,
unknown - 7,8860,,Unknown - 7,,,
new hs,8871,,New HS,,"carsonvilleport sanilac hs, ea johnson memorial hs",
new hs 2 - error,8872,,New HS 2 - Error,,"carsonvilleport sanilac hs, gladwin community alternative hs",
ypsilanti arbor prep,8873,C,Arbor Preparatory HS,Gators,"dearborn newcomer college prep academy, michigan international prep school",
kalamazoo reformed,8874,,Reformed Heritage Chrisitan School,Defenders,"kalamazoo area math and science center, kalamazoo central high school",
muskegon way point,8875,,Way Point Academy,,"muskegon area career tech center, muskegon community education center",
grand rapids wellspring prep,8876,C,Wellspring Preparatory HS,Wolves,grand rapids university preparatory academy,
muskegon way point 7/8,8877,,Way Point Academy 7/8,,"muskegon community education center, muskegon county juvenile transition center",
schulze acad for technology & arts,8878,,Schulze Acad for Technology & Arts,,"academy of science math and technology early college high sc, center for innovation",
detriot macdowell,8879,,MacDowell Elementary School,,,
detroit davidson,8880,,Davidson Elementary Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit bunche,8881,,Bunche Preparatroy Academy,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit bow elementary,8882,,Bow Elementary Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
kinross maplewood baptist ms,8883,,Maplewood Baptist Academy Middle School,,,
brighton holy spirit,8884,,Holy Spirit Catholic School 7/8,,,
wixom st catherine,8886,B,St Catherine of Siena Academy,Stars,"st charles community middlehigh school, st clair county intervention academy",
indianapolis lions homeschool (in),8887,,Lions Homeschool,,,
unknown - 8,8888,,Unknown - 8,,,
green bay new lutheran (wi),8899,,NEW Lutheran HS,,"bay pines center, new school high",
st andrew's-sewanee (tn),8900,,St Andrew's-Sewanee School,,"st charles community middlehigh school, st clair county intervention academy",
south carolina school for the deaf (sc),8901,,South Carolina Carolina School for the Deaf,,"academy of science math and technology early college high sc, actech high school",
